id,name,site_type,country,source_url,comment
134e6d5f-86de-4c3a-afc6-2959a360db15,Aya Muqu,city/town/settlement,Peru,https://en.wikipedia.org/wiki/Aya_Muqu,Ayacucho Region. Declared cultural heritage 2003 but no archaeological dating found.
3ff78ce4-ac80-4902-9bb9-20eab8a16a4a,Ayşepınar,cave structures,Turkey,,Develi Turkey. Roman rock tombs but no specific period data in any source.
e8fea646-0b0c-466c-913a-9a99c7dd786d,Belören Kalesi,Fortification,Turkey,https://beloren.wordpress.com/belorenhakkinda/trhkal/,No English-language sources. Turkish castle of unknown date.
ee94fe5e-d975-4ed9-940d-16056532293e,Beşkardeşler Kaya Mezarları,cave structures,Turkey,,Likely Phrygian rock tombs near Eskişehir but cannot confirm date.
59267588-ef6b-40b7-9990-c93b2b6d08f4,Bhagwan Bharat's Statue,Monument,India,,Jain statue at Chandragiri Shravanabelagola. Possibly 10th century but unfinished. Religious monument not archaeological site.
ea159045-9163-41c2-9026-71edd41683ec,Blaškovina Archaeological Site,city/town/settlement,Serbia,https://en.wikipedia.org/wiki/Visibaba,Cultural Heritage of Serbia since 1987 in Visibaba but no period data found.
8df8659c-49be-4a66-b25a-ecbf96541515,Bosnian Pyramid of Love,geological interest,Bosnia and Herzegovina,https://en.wikipedia.org/wiki/Bosnian_pyramid_claims,Pseudoarchaeology. Natural hill formation (flatiron). Scientific consensus: not man-made.
0fd636ac-1a80-4a77-b9d0-a065ae811656,Bosnian Pyramid of the Moon,geological interest,Bosnia and Herzegovina,https://en.wikipedia.org/wiki/Bosnian_pyramid_claims,Pseudoarchaeology. Natural hill formation (flatiron). Scientific consensus: not man-made.
3c466fde-b751-4065-8de2-bd5c9280afe5,Bosnian Pyramid of the Sun,geological interest,Bosnia and Herzegovina,https://en.wikipedia.org/wiki/Bosnian_pyramid_claims,Pseudoarchaeology. Natural hill formation (flatiron). Scientific consensus: not man-made.
9446bdcb-861c-4073-91dd-35248a1363d5,Carachupa,rock art,Peru,https://en.wikipedia.org/wiki/Carachupa,Rock art petroglyphs in Amazonas Peru. No specific dating found. Could range widely.
0943934a-6b61-416c-a382-8493a2d9db7f,Çem Kalesi,fortress/citadel,Turkey,https://www-osmaniye-gov-tr.translate.goog/cem-kalesi,Castle in Osmaniye Turkey. No specific dating found in English sources. Regional context suggests medieval.
c4446aa8-4d88-4d40-be5b-129bca6a68aa,Chipaw Marka,city/town/settlement,Peru,https://en.wikipedia.org/wiki/Chipaw_Marka,"Ayacucho region. No date found; could be Wari (600-1000 AD) or Inca period, insufficient evidence."
9e82a4ae-0ef3-4f0f-a1a9-965aa94e55da,Cuchi Machay,rock art,Peru,https://en.wikipedia.org/wiki/Cuchi_Machay,Cave paintings in Lima Region. No dating information available.
09b07712-628c-4c14-bf87-62c586f1ced3,Currachjaghju,Settlement,France,https://en.wikipedia.org/wiki/Currachjaghju,Corsican archaeological site. Likely Bronze Age (~1500 BC) based on regional context but insufficient evidence.
7ca988d4-73af-4ed2-b4ab-d93d080aa486,Ephesus Archaeological Museum,museum,Turkey,https://en.wikipedia.org/wiki/Ephesus_Archaeological_Museum,Museum (founded 1929/1964). Not an archaeological site. Consider removal or reclassification.
6cc9e902-c82f-4b21-9f36-41c2b783cebc,Furby,mound/tumulus,Sweden,https://en.wikipedia.org/wiki/Furby%2C_Sweden,Former parish near Västerås. Only church ruin remains. No archaeological site dating found.
5f3d80f4-5f79-4dfc-b40f-4583a46d316d,GOLOGOÇ VİRANŞEHİR ŞANLIURFA TARİHİ KEMER,megalithic stones,Turkey,,No URL or dating information found. Viranşehir has Roman-era structures but cannot confirm.
20f1479a-f1f8-46ce-b3a3-05a71847097e,Gritulu,Archaeological Site,France,https://en.wikipedia.org/wiki/Gritulu,Peruvian/Corsican archaeological site. No dating information available. Wikipedia stub.
706c0a4d-f0ba-4970-8744-176841caae61,Hatun Misapata,city/town/settlement,Peru,https://en.wikipedia.org/wiki/Hatun_Misapata,"Ayacucho region. No dating found; could be Wari or Inca period."
39927155-7597-4da8-9e3f-8c02d3d7a6ac,Jinkiori,petroglyphs,Peru,https://en.wikipedia.org/wiki/Jinkiori,Petroglyphs on monolith in Cusco region. Amazonian origin. No reliable dating available.
8459f1d2-a96f-4c37-a1d3-fb4ebbe3fb2e,Kamennyy Gorod,megalithic stones,Russia,,Natural geological formation (weathered sandstone in Perm). NOT an archaeological site.
7155aa5a-4eff-4b1d-a105-b15d17b786c6,Kirkdale Cave,cave structures,England,https://en.wikipedia.org/wiki/Kirkdale_Cave,Hyena den with Pleistocene fauna (~121000 BP). No human artifacts found. Paleontological not archaeological.
fcd0bf5d-100f-451f-99b9-7d3ecb4335ec,"Kukuli, Arequipa",rock art,Peru,https://en.wikipedia.org/wiki/Kukuli%2C_Arequipa,Rock paintings and tombs in Caraveli. No dating information available.
cfb36f32-10c1-477e-8a10-203dea937c00,Kuntuyuq,rock art,Peru,https://en.wikipedia.org/wiki/Kuntuyuq,Rock paintings at 4433m altitude in Pasco Region. No dating information available.
f1ec1e6c-f23c-40a9-ac6e-293965a8bd60,Leptis Magna Museum,museum,Libya,https://en.wikipedia.org/wiki/Leptis_Magna_Museum,Museum (~1920s). Not the ancient city itself (which was founded ~7th c. BC). Consider removal or reclassification.
5ed144bd-59e1-4611-a462-a3098bea5231,Maria Reiche Museum,museum,Peru,https://www.atlasobscura.com/places/maria-reiche-museum,Museum opened after Maria Reiche's death (1998). Not an archaeological site.
2133d54c-f352-4325-ae0c-dd532f9a65d3,Mookambika Wildlife Sanctuary Kodachadri,unknown,India,https://en.wikipedia.org/wiki/Mookambika_Wildlife_Sanctuary,Modern wildlife sanctuary in Karnataka. NOT an archaeological site. Consider deletion.
3bcf804a-ff18-4066-89bd-cfaa8a3b5a46,Museo Campano,museum,Italy,https://en.wikipedia.org/wiki/Museo_Campano,Museum founded 1870. Not an archaeological site. Consider removal or reclassification.
470169f0-deb7-4c7c-b912-90a98acede1d,"Museum of the Royal Tombs of Aigai, Vergina",museum,Greece,https://en.wikipedia.org/wiki/Museum_of_the_Royal_Tombs_of_Aigai_(Vergina),Museum (opened 1993). Underlying Aigai necropolis dates from ~1100 BC but this entry is the museum building.
